0.1825845 1.82775 1.547577 3.292672
4.811791 4.660616 6.591353 7.89525 6.634558
6.671906 7.368399 5.729084 4.901463 4.784151
6.180467 6.072145 4.690723 4.634633 5.251753
3.098002 2.511983 4.120591 3.641962 4.032412
2.911343 2.592363 1.646208 0.8059016 0.3112239
-2.35102 -0.7046296 1.492431 1.642447 4.454217
4.946531 4.926586 2.306022 2.011536 5.226938
3.10814 2.111353 2.928797 2.432052 2.231116
1.534472 0.9636707 2.546463 6.388513 9.335976
5.930774 4.148496 5.377457 6.940673 10.30807
11.59153 10.64519 9.945118 9.17827 9.49149
10.49464 10.15781 8.82073 7.961096 9.589847
8.222084 7.088067 8.041036 7.15563 7.343862
8.118055 8.47373 9.182639 9.932846 9.715861
9.299668 7.81619 7.523487 6.698099 6.468871
8.330133 9.781642 9.918872 7.934951 7.258369
9.862305 10.51931 11.92558 10.6621 7.123752
6.52588 7.957712 8.391421 8.967569 10.70995
9.874107 9.90484 14.87436 14.9034 15.7997
18.71859
